Open,High,Low,Close,Volume,open Time,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
1693649100000,25820.01000000,25820.01000000,25810.41000000,25810.41000000,29.01731000,1693649399999,749075.46774090,1389,5.49649000,141889.77438610,0
1693649400000,25810.42000000,25843.79000000,25810.41000000,25837.02000000,94.15427000,1693649699999,2432319.45152030,2574,61.40834000,1586273.53922450,0
1693649700000,25837.02000000,25844.78000000,25830.09000000,25835.02000000,75.36200000,1693649999999,1946984.04823640,1953,46.00889000,1188562.80289650,0
1693650000000,25835.01000000,25835.02000000,25827.91000000,25830.09000000,34.89559000,1693650299999,901397.62846870,1428,12.06554000,311654.98251260,0
1693650300000,25830.09000000,25830.09000000,25818.36000000,25822.78000000,49.99552000,1693650599999,1291115.76976810,1391,15.72306000,406026.72853060,0
1693650600000,25822.77000000,25834.34000000,25821.90000000,25831.10000000,65.59434000,1693650899999,1694095.61814520,2228,19.75820000,510290.11709800,0
1693650900000,25831.10000000,25840.00000000,25831.10000000,25839.99000000,70.57227000,1693651199999,1823158.77723290,1782,46.73567000,1207352.80527250,0
1693651200000,25839.99000000,25849.91000000,25839.99000000,25842.06000000,73.96335000,1693651499999,1911549.42038470,2057,43.77987000,1131454.05514350,0
1693651500000,25842.06000000,25855.49000000,25840.34000000,25840.35000000,60.73380000,1693651799999,1569918.03298180,2246,30.38148000,785312.24497190,0
1693651800000,25840.35000000,25844.78000000,25825.37000000,25829.73000000,42.87605000,1693652099999,1107736.41255040,1986,20.54578000,530824.40971880,0
1693652100000,25829.73000000,25841.68000000,25829.73000000,25832.89000000,46.19579000,1693652399999,1193471.82597270,1721,26.32706000,680163.23728410,0
1693652400000,25832.89000000,25847.16000000,25832.89000000,25847.16000000,49.40992000,1693652699999,1276796.06200050,2010,17.74074000,458423.27883980,0
1693652700000,25847.16000000,25853.44000000,25843.75000000,25851.05000000,64.19849000,1693652999999,1659508.70965840,2180,16.73030000,432462.08798150,0
1693653000000,25851.04000000,25855.02000000,25845.70000000,25852.61000000,57.23224000,1693653299999,1479530.07641920,2267,22.32880000,577205.61347050,0
1693653300000,25852.61000000,25855.48000000,25844.81000000,25855.48000000,32.68362000,1693653599999,844849.99981750,1671,14.20003000,367045.86059620,0
1693653600000,25855.47000000,25860.00000000,25855.47000000,25855.94000000,35.94185000,1693653899999,929380.74685450,1413,17.36606000,449028.07511280,0
1693653900000,25855.95000000,25855.95000000,25815.12000000,25826.70000000,163.39835000,1693654199999,4220269.17389150,3011,62.14327000,1604860.52704170,0
1693654200000,25826.70000000,25836.25000000,25825.64000000,25836.24000000,75.97553000,1693654499999,1962709.17585270,2205,23.28239000,601422.94076060,0
1693654500000,25836.24000000,25849.89000000,25831.82000000,25834.96000000,42.68109000,1693654799999,1102864.30193940,2387,14.18295000,366479.86265230,0
1693654800000,25834.96000000,25836.63000000,25781.55000000,25806.90000000,172.47140000,1693655099999,4450334.97731610,3979,43.09291000,1111801.59897130,0
1693655100000,25806.89000000,25810.82000000,25799.99000000,25800.00000000,55.06581000,1693655399999,1421010.65465800,2187,11.53449000,297656.62494640,0
1693655400000,25800.00000000,25823.81000000,25799.99000000,25817.54000000,76.29656000,1693655699999,1969453.99285680,2598,55.23550000,1425690.98054010,0
1693655700000,25817.55000000,25825.29000000,25813.54000000,25813.54000000,36.11808000,1693655999999,932454.09512040,1848,13.55103000,349862.98412200,0
1693656000000,25813.55000000,25835.83000000,25813.54000000,25825.83000000,90.51414000,1693656299999,2337797.59092730,2707,44.54324000,1150384.34581400,0
1693656300000,25825.84000000,25828.44000000,25820.24000000,25820.24000000,39.37353000,1693656599999,1016848.90862730,2012,11.59597000,299469.41965190,0
1693656600000,25820.24000000,25829.16000000,25819.09000000,25829.15000000,40.01125000,1693656899999,1033254.09979730,2039,22.05193000,569448.79583490,0
1693656900000,25829.16000000,25829.16000000,25814.44000000,25815.98000000,44.40855000,1693657199999,1146775.56896370,1535,12.34133000,318701.46439720,0
1693657200000,25815.97000000,25831.17000000,25815.97000000,25831.17000000,35.86028000,1693657499999,926045.67895070,1919,23.13039000,597327.46929240,0
1693657500000,25831.16000000,25831.17000000,25817.82000000,25821.13000000,41.36764000,1693657799999,1068275.22791000,2104,14.40926000,372067.24836290,0
1693657800000,25821.13000000,25824.15000000,25813.19000000,25813.20000000,49.80132000,1693658099999,1285952.02434690,1904,13.68828000,353459.47289070,0
1693658100000,25813.19000000,25820.40000000,25810.00000000,25810.01000000,70.03049000,1693658399999,1807812.69974540,2645,26.12812000,674477.38458090,0
1693658400000,25810.01000000,25810.89000000,25807.92000000,25807.92000000,43.46602000,1693658699999,1121879.49854550,1658,17.42832000,449832.25135950,0
1693658700000,25807.93000000,25810.69000000,25807.92000000,25810.67000000,44.10955000,1693658999999,1138479.15366070,2253,21.81785000,563115.93384220,0
1693659000000,25810.67000000,25810.67000000,25804.34000000,25804.34000000,58.83847000,1693659299999,1518432.68299570,2712,20.07706000,518148.35785650,0
